"","observation","wins","loss","svm","mtl","relevance"
"2","Accuracy",0,3,0.909541873683386,0.907812314338067,FALSE
"21",NA,6,2,0.669241713730489,0.673495119491692,FALSE
"3",NA,7,2,0.409477832107216,0.429165873494056,FALSE
"4",NA,0,6,0.806047358421347,0.742105884162212,TRUE
"5",NA,5,1,0.303266283423605,0.306994820913531,FALSE
"6",NA,2,5,0.704378782176312,0.695638137884094,FALSE
"7",NA,3,0,0.0904581263166137,0.0921876856619335,FALSE
"8",NA,5,2,0.249005003600849,0.256439878429509,FALSE
"9",NA,7,2,0.465631029861779,0.478508844473955,FALSE
"10",NA,4,2,0.470903646512059,0.482803395179757,FALSE
"11",NA,0,7,0,0,TRUE
"12",NA,5,2,0,0,FALSE
"13",NA,0,0,0,0,FALSE
"14",NA,0,0,0,0,FALSE
"15",NA,7,1,0,0,FALSE
"16",NA,5,5,0,0,FALSE
"17",NA,3,5,0,0,FALSE
"18",NA,6,1,0,0,TRUE
"19",NA,3,1,0,0,FALSE
"20",NA,0,0,0,0,FALSE
"211",NA,0,0,0,0,FALSE
"22",NA,0,3,0,0,TRUE
"23",NA,7,3,0,0,FALSE
