"","error","precision","recall","fscore","accuracy","balancedaccuracy","auc","majority","examples","Accuracy","AUC","Recall","Precision","AveragePrecision","FMeasure","HammingLoss","SubsetAccuracy","MacroFMeasure","MicroFMeasure","Accuracy","AUC","Recall","Precision","AveragePrecision","FMeasure","HammingLoss","SubsetAccuracy","MacroFMeasure","MicroFMeasure"
"birds",0.631578947368421,0.416666666666667,0.416666666666667,0.266666666666667,0.368421052631579,0.575,0,0.210526315789474,19,0.00211829884308257,0.0399303658511907,0.162693798449612,-0.283780068728522,0.0319223898806211,0.01602408008658,-0.0021182988430829,0.00309597523219823,0.185176723860934,0.224413157999495,0.952582695127913,0.285044719642243,0.0712209302325581,0.88,0.255877130305635,0.681818181818182,0.0474173048720873,0.479876160990712,0.258393552404442,0.146627565982405
"CAL500",0.344827586206897,0.333333333333333,0.218390804597701,0.263888888888889,0.655172413793103,0.5,0,0.655172413793103,174,2.22044604925031e-16,-1.11022302462516e-16,-1.66533453693773e-16,-4.44089209850063e-16,-1.38777878078145e-16,-3.88578058618805e-16,-1.94289029309402e-16,0,1.11022302462516e-16,4.44089209850063e-16,0.863239039163053,0.598467281422151,0.219005564272226,0.630449141676687,0.230160109768696,0.320319872724192,0.136760960836947,0,0.450797328391545,0.316006884681583
"corel5k",0.0673854447439353,0.397435897435897,0.589193302891933,0.426168555240793,0.932614555256065,0.564901523597176,0,0.919137466307278,371,-0.000155080213903647,0.0076768747889614,0.0156666666666666,-0.175866188769415,0.00295348600847392,0.00734418012243709,0.000155080213903739,0,-0.0138253733188584,0.0282492815558387,0.990663101604278,0.511268541238947,0.0226666666666667,0.612903225806452,0.119231762102612,0.455263157894737,0.00933689839572193,0,0.223549564941755,0.0448577680525164
"emotions",0.666666666666667,0.222222222222222,0.333333333333333,0.266666666666667,0.333333333333333,0.444444444444444,0,0,6,0.01980198019802,0.0492986798679871,0.146864686468647,-0.165317480394637,0.0423267326732678,0.0448894451397582,-0.0198019801980201,0.0643564356435644,0.174152329320471,0.180264180264181,0.706270627062706,0.559323432343234,0.134488448844884,0.822033898305085,0.521397139713971,0.66078431372549,0.293729372937294,0.0297029702970297,0.230921671830763,0.239316239316239
"enron",0.442307692307692,0.435897435897436,0.338888888888889,0.375757575757576,0.557692307692308,0.585470085470085,0,0.5,52,-0.0104278684785086,-0.0326732513165404,-0.0595443704251992,-0.18198327755097,-0.00105940733475002,-0.0259934516873992,0.0104278684785089,-0.00172711571675348,-0.0141989496482562,-0.105190560496888,0.953824094893603,0.707672489346839,0.424191956575376,0.760851202079272,0.148181406714031,0.62992275625609,0.0461759051063968,0.119170984455959,0.35932370499769,0.525610980917308
"flags",0.428571428571429,0.666666666666667,0.388888888888889,0.488888888888889,0.571428571428571,0.733333333333333,0,0.428571428571429,7,-0.0285714285714286,-0.0541025641025645,-0.0969230769230771,-0.00410256410256371,-0.00020512820512808,-0.0585721157149729,0.0285714285714285,-0.0769230769230767,-0.000726188173742925,-0.0472666105971409,0.756043956043956,0.785641025641026,0.758717948717949,0.735384615384615,0.753068376068376,0.754779083350512,0.243956043956044,0.169230769230769,0.68264681720983,0.744827586206897
"genbase",0.48,0.333333333333333,0.173333333333333,0.228070175438597,0.52,0.333333333333333,0,0.52,25,4.44089209850063e-16,-4.44089209850063e-16,1.11022302462516e-16,0,-2.77555756156289e-16,4.44089209850063e-16,2.60208521396521e-18,-2.22044604925031e-16,3.33066907387547e-16,2.22044604925031e-16,0.995160990135864,0.96105527638191,0.922110552763819,1,0.397586766094876,0.998188405797101,0.00483900986413549,0.919597989949749,0.953548875080627,0.943965517241379
"mediamill",0.722772277227723,0.342723004694836,0.256013745704467,0.15869918699187,0.277227722772277,0.502472613458529,0,0.257425742574257,101,-0.00153107303916089,0.0121988260190354,0.0281265101539081,-0.0637452651304004,-0.000620358439160439,-0.00409493897735247,0.00153107303916078,-0.00844045222239426,0.0206628300852604,0.00190945255348207,0.96964074601668,0.698611392048508,0.462696811683517,0.787175468209951,0.0539220327544723,0.610956444793454,0.03035925398332,0.0984203190336069,0.319991582741395,0.541509390269319
"medical",0.368421052631579,0.333333333333333,0.210526315789474,0.258064516129032,0.631578947368421,0.5,0,0.631578947368421,38,-2.22044604925031e-16,2.22044604925031e-16,-4.71844785465692e-16,-1.11022302462516e-16,4.71844785465692e-16,-1.11022302462516e-16,1.04083408558608e-17,-1.38777878078145e-16,-1.66533453693773e-16,-2.77555756156289e-16,0.975331610680448,0.568785865297493,0.138242894056848,0.847107438016529,0.190785791846695,0.906148867313916,0.0246683893195521,0.116279069767442,0.310037560037092,0.223427331887202
"scene",0.666666666666667,0.333333333333333,0.111111111111111,0.166666666666667,0.333333333333333,0.5,0,0.333333333333333,6,0,1.11022302462516e-16,2.22044604925031e-16,2.22044604925031e-16,3.33066907387547e-16,1.11022302462516e-16,1.38777878078145e-17,1.11022302462516e-16,-2.22044604925031e-16,-3.33066907387547e-16,0.914994425863991,0.806772575250836,0.63252508361204,0.886415525114155,0.508096432552954,0.961977186311787,0.0850055741360089,0.584448160535117,0.725758753223778,0.724480578139115
"tmc2007-500",1,0,0,0,0,0,0,0,22,-0.00218377072976494,-0.0090454132873935,-0.0180826666307798,-0.00267055029504593,0.000388427401252722,-0.00767607708481866,0.00218377072976483,-0.0247279920870424,-0.0518445608690775,-0.0141441599616391,0.960422366950557,0.884805484438904,0.785019995469338,0.844995238095238,0.289682960636349,0.824503136645887,0.0395776330494431,0.459799350007065,0.688919653993565,0.790507921397974
"yeast",0.428571428571429,0.323232323232323,0.325925925925926,0.316666666666667,0.571428571428571,0.323232323232323,0,0.214285714285714,14,-0.0112167004206258,0.017800852969882,0.0799038444894499,-0.0519313323293699,0.0161369809148865,0.0180126282507439,0.0112167004206258,0.0534351145038165,-0.00792314315754272,0.0198805059728066,0.7991120112167,0.736300169901588,0.55940264146371,0.716884769174846,0.428314896047928,0.678902275885034,0.2008879887833,0.14721919302072,0.532997495103686,0.626069305495143
"bibtex",0.515723270440252,0.346846846846847,0.327505827505828,0.271240826079536,0.484276729559748,0.512639109697933,0,0.465408805031447,159,-0.000835240131537573,-0.0338714980874635,-0.0673265959796775,-0.163355267064517,-0.000920948633041881,-0.0827814697448547,0.000835240131537789,-0.0608349900596423,-0.0200184051321154,-0.0476923711412685,0.986758693124273,0.596394025542684,0.192922323034883,0.954415137614679,0.0461568799002683,0.673360485775678,0.0132413068757268,0.113320079522863,0.316316828246964,0.254540335069689
"total",0.3420523138833,0.361489915422667,0.384653525489496,0.315644800859467,0.6579476861167,0.515961617664854,0,0.633802816901408,994,-0.00253852942644828,-0.000214394407454299,0.0147214458668885,-0.0840578457204186,0.00699401340510936,-0.00714213227768301,0.00253852942644824,-0.0039820078176408,0.0208811740743902,0.0184940673960667,0.909541873683386,0.669241713730489,0.409477832107216,0.806047358421347,0.303266283423605,0.704378782176312,0.0904581263166137,0.249005003600849,0.465631029861779,0.470903646512059
