"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","auc","accuracy","topauc","topaccuracy"
"Class-0-593_70",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.0780780780780781,0.921921921921922,0.5,0.596687704244504,8.5611148330802,8.5611148330802,110.758141226303,110.758141226303,0.0265496649733103,0.999999999999996,1,0.274050092089069,0.395370708812063,0.0371306840012123,NA,0.27405009208906,0.00137489691881617,199.324100838799,26.0061584203584,0.0780780780780781,NA,0.948948948948949,"SVM","SVM","SVM","SVM"
"Class-4-753_0",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.294294294294294,0.705705705705706,0.5,0.290911798866538,9.80252353496553,9.80252353496553,113.500595465187,113.500595465187,0.0310820418036419,0.999999999999999,1,0.605952073363046,0.874204051257251,0.0371306840012123,NA,0.605952073363034,0.00256577767854746,236.167021963527,13.4715125989531,0.294294294294294,NA,0.870870870870871,"RF","DT","RF","RF"
"Class-9-599_0",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.117117117117117,0.882882882882883,0.5,0.541478165773482,9.02146723240207,9.02146723240207,112.38478031667,112.38478031667,0.0269891014560901,0.999999999999999,1,0.3611414215221,0.521016937889524,0.0371306840012123,NA,0.361141421522109,0.00152299392504865,237.125976395845,23.3800604785907,0.117117117117117,NA,0.930930930930931,"SVM","DT","SVM","SVM"
"Class-23-786_50",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.033033033033033,0.966966966966967,0.5,0.660391017864914,8.07707236106763,8.07707236106763,109.594878952115,109.594878952115,0.0245043142276895,1,1,0.145132142634854,0.209381422452893,0.0371306840012123,NA,0.145132142634851,0.000710052010546169,204.396495579554,51.2929073500567,0.033033033033033,NA,0.96996996996997,"SVM","DT","SVM","SVM"
"Class-24-596_54",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.042042042042042,0.957957957957958,0.5,0.647650355140832,8.09914106664255,8.09914106664255,109.626444445536,109.626444445536,0.0253239703136701,1,1,0.174380434716242,0.251577788393184,0.0371306840012123,NA,0.174380434716248,0.000887230234661788,196.544738787803,40.8501112232345,0.042042042042042,NA,0.972972972972973,"SVM","DT","SVM","SVM"
"Class-31-780_6",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.0750750750750751,0.924924924924925,0.5,0.600934591819198,8.58673507686795,8.58673507686795,110.152321590631,110.152321590631,0.0239250761233308,1,1,0.266573034191958,0.384583594463462,0.0371306840012123,NA,0.266573034191953,0.000847490480784741,314.543986317253,42.8125086276259,0.0750750750750751,NA,0.924924924924925,"SVM","KNN_1","SVM","SVM"
"Class-32-486",2,894,894,0,333,2.68468468468468,1,0,2,2,2,0,2,0.162162162162162,0.837837837837838,0.5,0.477774852153073,9.27774736688393,9.27774736688393,111.304521012406,111.304521012406,0.0283648610902231,1,1,0.44323790847104,0.639457132485165,0.0601816119885421,0.0208214088115593,0.443237908471034,0.00255547542280401,173.44635934111,22.5500648730589,0.162162162162162,NA,0.840840840840841,"SVM","SVM","SVM","SVM"
"Class-36-788_30",2,894,894,0,333,2.68468468468468,1,0,2,2,2,0,2,0.039039039039039,0.960960960960961,0.5,0.651897242715526,8.02561287737006,8.02561287737006,109.886583839908,109.886583839908,0.0264815070356735,0.999999999999996,1,0.164878044632075,0.237868737342163,0.0601816119885421,0.0208214088115593,0.164878044632076,0.00165349919309049,99.7146205580589,35.3965173010209,0.039039039039039,NA,0.954954954954955,"RF","DT","RF","SVM"
"Class-41-591",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.0840840840840841,0.915915915915916,0.5,0.588193929095116,8.63227451227326,8.63227451227326,110.332877262702,110.332877262702,0.029151387912161,1,1,0.28863252556553,0.416408713272648,0.0371306840012123,NA,0.288632525565521,0.0015867427489029,181.902533202118,22.400569516946,0.0840840840840841,NA,0.93993993993994,"RF","SVM","RF","SVM"
"Class-43-279_12",2,894,894,0,333,2.68468468468468,1,0,2,2,2,0,2,0.036036036036036,0.963963963963964,0.5,0.65614413029022,8.06445997595269,8.06445997595269,109.62524495411,109.62524495411,0.0234446709861248,1,1,0.155135041565456,0.223812555134586,0.0601816119885421,0.0208214088115593,0.155135041565456,0.00101481954116873,152.86958446503,58.302772115753,0.036036036036036,NA,0.963963963963964,"SVM","SVM","SVM","SVM"
"Class-44-786_07",2,1449,894,555,333,4.35135135135135,0.616977225672878,0.383022774327122,1,2,1.00179856115108,0.0424094464839985,557,0.036036036036036,0.963963963963964,0.5,0.65614413029022,8.07472099757692,8.07472099757692,109.00009292542,109.00009292542,0.0243580268713186,1,1,0.155135041565456,0.223812555134586,0.0371306840012123,NA,0.155135041565452,0.000622558354770825,249.189558499401,58.6420941373131,0.036036036036036,NA,0.948948948948949,"SVM","SVM","SVM","SVM"
